IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
67.226.223.109,80,443,true,LHR,Europe,GB,London,168,11.05
47.129.63.25,443,443,true,SIN,Asia Pacific,SG,Singapore,272,11.04
46.137.38.67,8080,443,true,DUB,Europe,IE,Dublin,398,11.04
51.20.182.22,443,443,true,CPH,Europe,DK,Copenhagen,219,11.01
35.178.235.225,443,443,true,LHR,Europe,GB,London,272,11.01
3.123.202.92,8443,443,true,FRA,Europe,DE,Frankfurt,294,10.95
51.20.78.106,443,443,true,CPH,Europe,DK,Copenhagen,247,10.94
51.20.163.38,8443,443,true,ARN,Europe,SE,Stockholm,338,10.94
51.21.149.197,443,443,true,AMS,Europe,NL,Amsterdam,263,10.93
52.59.241.91,443,443,true,FRA,Europe,DE,Frankfurt,191,10.93
51.20.143.187,443,443,true,CPH,Europe,DK,Copenhagen,417,10.93
3.67.25.193,443,443,true,FRA,Europe,DE,Frankfurt,293,10.92
3.71.189.51,2053,443,true,FRA,Europe,DE,Frankfurt,243,10.92
3.123.202.92,2053,443,true,FRA,Europe,DE,Frankfurt,267,10.91
18.153.94.168,443,443,true,FRA,Europe,DE,Frankfurt,240,10.89
52.57.169.228,443,443,true,FRA,Europe,DE,Frankfurt,228,10.88
35.179.184.93,8443,443,true,LHR,Europe,GB,London,272,10.87
51.20.99.157,443,443,true,AMS,Europe,NL,Amsterdam,283,10.86
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,217,10.86
18.159.111.125,2053,443,true,FRA,Europe,DE,Frankfurt,169,10.86
35.179.17.234,443,443,true,LHR,Europe,GB,London,354,10.85
52.59.241.91,443,443,true,FRA,Europe,DE,Frankfurt,292,10.85
51.20.134.80,443,443,true,CPH,Europe,DK,Copenhagen,222,10.84
18.171.231.58,443,443,true,LHR,Europe,GB,London,236,10.83
3.66.67.78,2053,443,true,FRA,Europe,DE,Frankfurt,243,10.81
3.75.178.73,2087,443,true,FRA,Europe,DE,Frankfurt,179,10.80
52.212.168.236,443,443,true,DUB,Europe,IE,Dublin,351,10.76
51.20.163.38,8080,443,true,ARN,Europe,SE,Stockholm,278,10.76
63.34.20.192,443,443,true,DUB,Europe,IE,Dublin,279,10.72
16.171.62.153,8443,443,true,AMS,Europe,NL,Amsterdam,385,10.72
51.20.132.135,443,443,true,CPH,Europe,DK,Copenhagen,238,10.71
35.179.157.141,443,443,true,LHR,Europe,GB,London,343,10.71
3.64.205.189,443,443,true,FRA,Europe,DE,Frankfurt,264,10.70
35.178.253.214,443,443,true,LHR,Europe,GB,London,341,10.68
13.212.153.44,443,443,true,SIN,Asia Pacific,SG,Singapore,257,10.68
51.20.143.187,443,443,true,CPH,Europe,DK,Copenhagen,183,10.67
47.129.158.112,443,443,true,SIN,Asia Pacific,SG,Singapore,268,10.66
35.179.100.176,443,443,true,LHR,Europe,GB,London,338,10.66
3.11.236.175,443,443,true,LHR,Europe,GB,London,219,10.64
3.75.18.242,8080,443,true,FRA,Europe,DE,Frankfurt,244,10.61
35.178.253.214,443,443,true,LHR,Europe,GB,London,331,10.61
184.169.181.217,443,443,true,SJC,North America,US,San Jose,371,10.59
54.67.51.104,8443,443,true,SJC,North America,US,San Jose,322,10.59
35.179.161.14,443,443,true,LHR,Europe,GB,London,279,10.57
35.159.168.72,443,443,true,FRA,Europe,DE,Frankfurt,287,10.57
51.20.181.79,443,443,true,CPH,Europe,DK,Copenhagen,301,10.57
67.226.223.212,443,443,true,LHR,Europe,GB,London,163,10.56
16.16.28.47,8443,443,true,AMS,Europe,NL,Amsterdam,263,10.55
18.159.41.249,443,443,true,FRA,Europe,DE,Frankfurt,238,10.52
51.20.132.135,443,443,true,CPH,Europe,DK,Copenhagen,224,10.52
54.67.51.104,2053,443,true,SJC,North America,US,San Jose,405,10.47
54.67.51.104,2053,443,true,SJC,North America,US,San Jose,389,10.46
34.217.174.47,443,443,true,SEA,North America,US,Seattle,357,10.44
51.20.121.201,443,443,true,ARN,Europe,SE,Stockholm,389,10.42
47.129.163.236,443,443,true,SIN,Asia Pacific,SG,Singapore,304,10.42
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,214,10.40
35.179.17.234,443,443,true,LHR,Europe,GB,London,268,10.39
54.194.71.191,443,443,true,DUB,Europe,IE,Dublin,233,10.39
13.212.14.42,443,443,true,SIN,Asia Pacific,SG,Singapore,225,10.38
35.179.162.97,443,443,true,LHR,Europe,GB,London,299,10.38
18.135.67.188,443,443,true,LHR,Europe,GB,London,321,10.34
13.212.72.184,443,443,true,SIN,Asia Pacific,SG,Singapore,231,10.30
54.245.155.49,443,443,true,PDX,North America,US,Portland,310,10.30
51.21.48.77,443,443,true,ARN,Europe,SE,Stockholm,345,10.29
13.212.221.142,443,443,true,SIN,Asia Pacific,SG,Singapore,213,10.29
47.129.179.221,443,443,true,SIN,Asia Pacific,SG,Singapore,278,10.29
54.184.54.145,443,443,true,PDX,North America,US,Portland,273,10.27
35.179.133.40,443,443,true,LHR,Europe,GB,London,297,10.27
54.203.12.189,443,443,true,PDX,North America,US,Portland,215,10.27
35.179.76.191,443,443,true,LHR,Europe,GB,London,239,10.26
34.222.135.204,443,443,true,PDX,North America,US,Portland,262,10.26
35.178.231.114,443,443,true,LHR,Europe,GB,London,267,10.25
46.137.38.67,8080,443,true,DUB,Europe,IE,Dublin,294,10.24
3.73.64.141,443,443,true,FRA,Europe,DE,Frankfurt,189,10.23
54.229.46.23,443,443,true,DUB,Europe,IE,Dublin,276,10.22
51.20.238.138,8080,443,true,ARN,Europe,SE,Stockholm,264,10.22
35.179.103.253,443,443,true,LHR,Europe,GB,London,419,10.21
3.123.242.99,443,443,true,FRA,Europe,DE,Frankfurt,230,10.21
54.193.48.13,443,443,true,SJC,North America,US,San Jose,194,10.19
35.179.160.16,443,443,true,LHR,Europe,GB,London,356,10.17
51.20.132.68,8443,443,true,ARN,Europe,SE,Stockholm,313,10.16
51.20.249.244,8443,443,true,AMS,Europe,NL,Amsterdam,356,10.15
54.247.226.28,443,443,true,DUB,Europe,IE,Dublin,311,10.14
52.24.15.209,443,443,true,SEA,North America,US,Seattle,217,10.14
54.213.214.160,443,443,true,PDX,North America,US,Portland,273,10.13
13.212.9.237,443,443,true,SIN,Asia Pacific,SG,Singapore,242,10.13
3.126.159.12,443,443,true,FRA,Europe,DE,Frankfurt,335,10.13
54.245.155.49,443,443,true,PDX,North America,US,Portland,348,10.09
35.178.206.111,443,443,true,LHR,Europe,GB,London,380,10.08
34.216.225.25,443,443,true,PDX,North America,US,Portland,359,10.08
18.153.166.250,8443,443,true,FRA,Europe,DE,Frankfurt,216,10.05
54.185.171.97,443,443,true,PDX,North America,US,Portland,296,10.03
54.193.48.13,443,443,true,SJC,North America,US,San Jose,255,10.03
35.179.156.114,443,443,true,LHR,Europe,GB,London,382,10.03
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,311,10.03
3.71.189.51,2053,443,true,FRA,Europe,DE,Frankfurt,271,10.01
35.92.87.102,443,443,true,PDX,North America,US,Portland,216,10.00
52.38.6.43,443,443,true,PDX,North America,US,Portland,239,9.99
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,276,9.98
51.20.238.138,8080,443,true,ARN,Europe,SE,Stockholm,324,9.98
51.20.78.106,443,443,true,CPH,Europe,DK,Copenhagen,270,9.98
44.227.209.152,443,443,true,PDX,North America,US,Portland,273,9.93
34.217.29.24,443,443,true,PDX,North America,US,Portland,253,9.92
35.179.157.141,443,443,true,LHR,Europe,GB,London,301,9.92
35.87.122.22,443,443,true,SEA,North America,US,Seattle,214,9.92
54.202.56.174,443,443,true,PDX,North America,US,Portland,228,9.92
3.126.159.12,443,443,true,FRA,Europe,DE,Frankfurt,235,9.91
50.18.25.238,443,443,true,SJC,North America,US,San Jose,238,9.89
47.129.145.130,443,443,true,SIN,Asia Pacific,SG,Singapore,222,9.87
54.186.108.196,443,443,true,PDX,North America,US,Portland,218,9.87
54.245.13.200,443,443,true,PDX,North America,US,Portland,306,9.86
3.123.255.167,443,443,true,FRA,Europe,DE,Frankfurt,186,9.85
